KORT;KORT EID AV KUNDE;PRIS BOOKING;MEDLEM;KUNDEID;RESSURS;BESØKSDATO;STARTTID;BESTILLINGSDATO;BESTILLINGSTID;ANTALLRESURSER
<br/>;;NOK 200;yes;6065422;Dropin  - Sukkerbiten;07.05.2022;10:00-11:30;02.05.2022;02.05.2022 23:39;2
Årskort/månedskort   <br/>;Gyldig for angitt antall dager NOK 1 000    Gyldig for angitt antall dager NOK 400;NOK 0;yes;5710338;Dropin  - Sukkerbiten;07.05.2022;10:00-11:30;03.05.2022;03.05.2022 03:40;1
Årskort/månedskort   <br/>;Gyldig for angitt antall dager NOK 2 500;NOK 0;No;5752700;Dropin  - Sukkerbiten;07.05.2022;10:00-11:30;03.05.2022;03.05.2022 09:58;1
<br/>;Gyldig for angitt antall dager NOK 2 800;NOK 0;No;5749363;Dropin  - Sukkerbiten;07.05.2022;10:00-11:30;03.05.2022;03.05.2022 09:59;1
Årskort/månedskort   <br/>;Gyldig for angitt antall dager NOK 1 000    Gyldig for angitt antall dager NOK 400;NOK 0;yes;5937469;Dropin  - Sukkerbiten;07.05.2022;10:00-11:30;03.05.2022;03.05.2022 14:07;1
Årskort/månedskort   <br/>;Gyldig for angitt antall dager NOK 1 000    Gyldig for angitt antall dager NOK 400;NOK 0;No;5937439;Dropin  - Sukkerbiten;07.05.2022;10:00-11:30;03.05.2022;03.05.2022 14:10;1
<br/>;;NOK 100;yes;5376141;Dropin  - Sukkerbiten;07.05.2022;10:00-11:30;03.05.2022;03.05.2022 22:44;1
Årskort/månedskort   <br/>;Gyldig for angitt antall dager NOK 400;NOK 0;yes;5501691;Dropin  - Bademaschin/Snipa;07.05.2022;10:00-11:30;25.04.2022;25.04.2022 20:06;1
<br/>;;NOK 200;yes;6289788;Dropin  - Bademaschin/Snipa;07.05.2022;10:00-11:30;01.05.2022;01.05.2022 14:30;2
<br/>;;NOK 525;No;6850202;Dropin  - Bademaschin/Snipa;07.05.2022;10:00-11:30;03.05.2022;03.05.2022 19:27;3
<br/>;;NOK 400;yes;6757940;Dropin  - Bademaschin/Snipa;07.05.2022;10:00-11:30;03.05.2022;03.05.2022 19:36;4
<br/>;;NOK 100;yes;6529772;Dropin  - Bademaschin/Snipa;07.05.2022;10:00-11:30;06.05.2022;06.05.2022 22:40;1
<br/>;;NOK 100;yes;6062799;Dropin  - Bademaschin/Snipa;07.05.2022;10:00-11:30;07.05.2022;07.05.2022 09:02;1
<br/>;Rabatten er gyldig for et gitt antall dager NOK 200;NOK 200;yes;6394668;Dropin - Kroloftet (Svartdalen);07.05.2022;10:00-11:30;06.05.2022;06.05.2022 11:00;2
<br/>;;NOK 175;No;6859425;Dropin - Kroloftet (Svartdalen);07.05.2022;10:00-11:30;06.05.2022;06.05.2022 12:44;1
<br/>;;NOK 175;No;6842328;Dropin - Kroloftet (Svartdalen);07.05.2022;10:00-11:30;06.05.2022;06.05.2022 17:28;1
<br/>;;NOK 200;yes;5709128;Dropin - Kroloftet (Svartdalen);07.05.2022;10:00-11:30;06.05.2022;06.05.2022 21:00;2
<br/>;;NOK 0;;5539081;Skarven;07.05.2022;10:00-12:00;12.08.2021;12.08.2021 10:57;1
<br/>;Antall ganger NOK 1 500;NOK 1 500;No;6578214;Måken;07.05.2022;10:00-12:00;08.02.2022;08.02.2022 10:07;1
<br/>;;NOK 2 500;yes;6179753;Bademaschin 2;07.05.2022;10:00-12:00;30.01.2022;30.01.2022 19:17;1
<br/>;;NOK 2 000;No;6006733;Alken;07.05.2022;10:15-12:15;06.02.2022;06.02.2022 13:25;1
<br/>;;NOK 1 700;yes;6663486;Ærfuglen;07.05.2022;10:15-12:15;06.04.2022;06.04.2022 19:58;1
<br/>;;NOK 2 300;No;6707261;Snipa;07.05.2022;10:30-12:30;23.03.2022;23.03.2022 16:41;1
<br/>;;NOK 200;yes;6146019;Dropin  - Sukkerbiten;07.05.2022;11:30-13:00;18.04.2022;18.04.2022 16:43;2
<br/>;;NOK 200;yes;6125422;Dropin  - Sukkerbiten;07.05.2022;11:30-13:00;24.04.2022;24.04.2022 21:03;2
Årskort/månedskort   <br/>;Gyldig for angitt antall dager NOK 400;NOK 0;yes;6401376;Dropin  - Sukkerbiten;07.05.2022;11:30-13:00;24.04.2022;24.04.2022 21:13;1
<br/>;;NOK 350;No;6822546;Dropin  - Sukkerbiten;07.05.2022;11:30-13:00;25.04.2022;25.04.2022 11:20;2
<br/>;Gyldig for angitt antall dager NOK 2 800    Gyldig for angitt antall dager NOK 400;NOK 0;yes;5726506;Dropin  - Sukkerbiten;07.05.2022;11:30-13:00;26.04.2022;26.04.2022 10:09;1
Årskort/månedskort   <br/>;Gyldig for angitt antall dager NOK 1 000    Gyldig for angitt antall dager NOK 400;NOK 0;yes;5877772;Dropin  - Sukkerbiten;07.05.2022;11:30-13:00;27.04.2022;27.04.2022 22:50;1
Årskort/månedskort   <br/>;Gyldig for angitt antall dager NOK 400    Gyldig for angitt antall dager NOK 400;NOK 0;yes;6200133;Dropin  - Sukkerbiten;07.05.2022;11:30-13:00;27.04.2022;27.04.2022 22:52;1
Årskort/månedskort   <br/>;Gyldig for angitt antall dager NOK 400;NOK 0;yes;6284672;Dropin  - Sukkerbiten;07.05.2022;11:30-13:00;29.04.2022;29.04.2022 10:00;1
Årskort/månedskort   <br/>;Gyldig for angitt antall dager NOK 2 500;NOK 0;yes;5501299;Dropin  - Sukkerbiten;07.05.2022;11:30-13:00;30.04.2022;30.04.2022 20:57;1
Årskort/månedskort   <br/>;Gyldig for angitt antall dager NOK 2 500;NOK 0;No;5711499;Dropin  - Sukkerbiten;07.05.2022;11:30-13:00;01.05.2022;01.05.2022 19:57;1
<br/>;;NOK 350;No;6843722;Dropin  - Sukkerbiten;07.05.2022;11:30-13:00;01.05.2022;01.05.2022 20:49;2
<br/>;;NOK 350;No;6439901;Dropin  - Sukkerbiten;07.05.2022;11:30-13:00;02.05.2022;02.05.2022 11:13;2
<br/>;;NOK 175;No;6439901;Dropin  - Sukkerbiten;07.05.2022;11:30-13:00;02.05.2022;02.05.2022 12:22;1
Årskort/månedskort   <br/>;Gyldig for angitt antall dager NOK 400;NOK 0;yes;6269429;Dropin  - Sukkerbiten;07.05.2022;11:30-13:00;06.05.2022;06.05.2022 19:44;1
Årskort/månedskort   <br/>;Gyldig for angitt antall dager NOK 1 000    Gyldig for angitt antall dager NOK 400;NOK 0;yes;5868011;Dropin  - Sukkerbiten;07.05.2022;11:30-13:00;07.05.2022;07.05.2022 11:05;1
<br/>;;NOK 100;yes;6092902;Dropin  - Bademaschin/Snipa;07.05.2022;11:30-13:00;02.05.2022;02.05.2022 08:42;1
<br/>;;NOK 200;yes;5966085;Dropin  - Bademaschin/Snipa;07.05.2022;11:30-13:00;02.05.2022;02.05.2022 12:46;2
<br/>;Gyldig for angitt antall dager NOK 400;NOK 0;No;6617562;Dropin  - Bademaschin/Snipa;07.05.2022;11:30-13:00;02.05.2022;02.05.2022 18:48;1
<br/>;Gyldig for angitt antall dager NOK 400;NOK 0;yes;6046299;Dropin  - Bademaschin/Snipa;07.05.2022;11:30-13:00;03.05.2022;03.05.2022 10:53;1
<br/>;;NOK 350;No;6749358;Dropin  - Bademaschin/Snipa;07.05.2022;11:30-13:00;03.05.2022;03.05.2022 20:02;2
<br/>;;NOK 700;No;6850790;Dropin  - Bademaschin/Snipa;07.05.2022;11:30-13:00;03.05.2022;03.05.2022 22:30;4
<br/>;;NOK 175;No;6850790;Dropin  - Bademaschin/Snipa;07.05.2022;11:30-13:00;03.05.2022;03.05.2022 22:31;1
<br/>;;NOK 300;No;6804697;Dropin - Kroloftet (Svartdalen);07.05.2022;11:30-13:00;19.04.2022;19.04.2022 21:30;2
<br/>;Gyldig for angitt antall dager NOK 2 800    Rabatten er gyldig for et gitt antall dager NOK 200;NOK 0;yes;5706938;Dropin - Kroloftet (Svartdalen);07.05.2022;11:30-13:00;24.04.2022;24.04.2022 15:49;1
<br/>;;NOK 175;No;6512131;Dropin - Kroloftet (Svartdalen);07.05.2022;11:30-13:00;24.04.2022;24.04.2022 16:00;1
<br/>;;NOK 175;No;6782122;Dropin - Kroloftet (Svartdalen);07.05.2022;11:30-13:00;25.04.2022;25.04.2022 06:31;1
Årskort/månedskort   <br/>;Gyldig for angitt antall dager NOK 2 500    Rabatten er gyldig for et gitt antall dager     Gyldig for angitt antall dager NOK 400;NOK 0;yes;5501515;Dropin - Kroloftet (Svartdalen);07.05.2022;11:30-13:00;27.04.2022;27.04.2022 22:07;1
<br/>;;NOK 300;yes;6848590;Dropin - Kroloftet (Svartdalen);07.05.2022;11:30-13:00;03.05.2022;03.05.2022 10:07;3
<br/>;;NOK 1 500;No;6418134;Måken;07.05.2022;12:00-14:00;27.04.2022;27.04.2022 08:36;1
<br/>;;NOK 2 800;No;6560872;Bademaschin 2;07.05.2022;12:00-14:00;01.02.2022;01.02.2022 19:01;1
<br/>;;NOK 2 000;No;6670140;Alken;07.05.2022;12:15-14:15;10.03.2022;10.03.2022 09:31;1
<br/>;;NOK 2 000;No;6670140;Ærfuglen;07.05.2022;12:15-14:15;10.03.2022;10.03.2022 09:32;1
<br/>;;NOK 2 300;No;6715121;Snipa;07.05.2022;12:30-14:30;25.03.2022;25.03.2022 15:59;1
<br/>;;NOK 1 800;No;6836953;Badstua Bispen;07.05.2022;12:30-14:30;29.04.2022;29.04.2022 17:28;1
<br/>;;NOK 700;No;6806096;Dropin  - Sukkerbiten;07.05.2022;13:00-14:30;20.04.2022;20.04.2022 09:39;4
<br/>;;NOK 350;No;6819782;Dropin  - Sukkerbiten;07.05.2022;13:00-14:30;24.04.2022;24.04.2022 13:32;2
Årskort/månedskort   <br/>;Gyldig for angitt antall dager NOK 2 500;NOK 0;yes;5713026;Dropin  - Sukkerbiten;07.05.2022;13:00-14:30;29.04.2022;29.04.2022 07:30;1
Årskort/månedskort   <br/>;Gyldig for angitt antall dager NOK 2 500    Rabatten er gyldig for et gitt antall dager NOK 200    Gyldig for angitt antall dager NOK 400;NOK 0;yes;5747964;Dropin  - Sukkerbiten;07.05.2022;13:00-14:30;29.04.2022;29.04.2022 09:47;1
Gavekort<br/>;;NOK 0;No;6796409;Dropin  - Sukkerbiten;07.05.2022;13:00-14:30;29.04.2022;29.04.2022 19:13;2
<br/>;Gyldig for angitt antall dager NOK 1 000;NOK 200;yes;5752589;Dropin  - Sukkerbiten;07.05.2022;13:00-14:30;29.04.2022;29.04.2022 21:03;2
<br/>;;NOK 175;No;5791237;Dropin  - Sukkerbiten;07.05.2022;13:00-14:30;30.04.2022;30.04.2022 01:19;1
<br/>;;NOK 175;No;5791237;Dropin  - Sukkerbiten;07.05.2022;13:00-14:30;30.04.2022;30.04.2022 01:20;1
<br/>;Gyldig for angitt antall dager NOK 400;NOK 0;yes;6034821;Dropin  - Sukkerbiten;07.05.2022;13:00-14:30;01.05.2022;01.05.2022 22:41;1
<br/>;;NOK 175;No;6844043;Dropin  - Sukkerbiten;07.05.2022;13:00-14:30;01.05.2022;01.05.2022 22:43;1
Årskort/månedskort   <br/>;Gyldig for angitt antall dager NOK 400    Gyldig for angitt antall dager NOK 400;NOK 0;yes;5536928;Dropin  - Sukkerbiten;07.05.2022;13:00-14:30;02.05.2022;02.05.2022 08:10;1
Årskort/månedskort   <br/>;Gyldig for angitt antall dager NOK 2 500;NOK 0;No;6386149;Dropin  - Sukkerbiten;07.05.2022;13:00-14:30;02.05.2022;02.05.2022 19:47;1
<br/>;;NOK 175;No;6847383;Dropin  - Sukkerbiten;07.05.2022;13:00-14:30;02.05.2022;02.05.2022 21:57;1
Årskort/månedskort   <br/>;Gyldig for angitt antall dager NOK 400;NOK 0;No;6509761;Dropin  - Sukkerbiten;07.05.2022;13:00-14:30;06.05.2022;06.05.2022 19:06;1
<br/>;;NOK 400;yes;6079075;Dropin  - Bademaschin/Snipa;07.05.2022;13:00-14:30;18.04.2022;18.04.2022 19:00;4
<br/>;;NOK 525;No;6848795;Dropin  - Bademaschin/Snipa;07.05.2022;13:00-14:30;03.05.2022;03.05.2022 11:28;3
<br/>;;NOK 525;No;6449258;Dropin  - Bademaschin/Snipa;07.05.2022;13:00-14:30;03.05.2022;03.05.2022 21:36;3
<br/>;;NOK 200;yes;6488708;Dropin  - Bademaschin/Snipa;07.05.2022;13:00-14:30;03.05.2022;03.05.2022 22:48;2
<br/>;;NOK 2 300;No;6547397;Skarven;07.05.2022;13:00-15:00;29.01.2022;29.01.2022 20:37;1
<br/>;;NOK 2 300;No;6631246;Svarttrosten;07.05.2022;13:00-15:00;24.02.2022;24.02.2022 22:08;1
<br/>;;NOK 1 200;;6071202;Måken;07.05.2022;14:00-16:00;02.09.2021;02.09.2021 13:37;1
<br/>;;NOK 2 800;No;6568559;Bademaschin 2;07.05.2022;14:00-16:00;04.02.2022;04.02.2022 18:35;1
<br/>;;NOK 2 000;No;6694189;Alken;07.05.2022;14:15-16:15;18.03.2022;18.03.2022 10:48;1
<br/>;;NOK 2 000;No;6694189;Ærfuglen;07.05.2022;14:15-16:15;18.03.2022;18.03.2022 10:49;1
Årskort/månedskort   <br/>;Gyldig for angitt antall dager NOK 400    Gyldig for angitt antall dager NOK 400;NOK 0;No;5994244;Dropin  - Sukkerbiten;07.05.2022;14:30-16:00;17.04.2022;17.04.2022 09:43;1
Årskort/månedskort   <br/>;Gyldig for angitt antall dager NOK 2 800    Rabatten er gyldig for et gitt antall dager     Gyldig for angitt antall dager NOK 400;NOK 0;yes;5717204;Dropin  - Sukkerbiten;07.05.2022;14:30-16:00;22.04.2022;22.04.2022 12:00;1
<br/>;;NOK 400;yes;6241979;Dropin  - Sukkerbiten;07.05.2022;14:30-16:00;22.04.2022;22.04.2022 17:04;4
<br/>;;NOK 700;No;6826617;Dropin  - Sukkerbiten;07.05.2022;14:30-16:00;26.04.2022;26.04.2022 13:34;4
<br/>;;NOK 700;No;6826746;Dropin  - Sukkerbiten;07.05.2022;14:30-16:00;26.04.2022;26.04.2022 14:25;4
<br/>;;NOK 200;yes;6273269;Dropin  - Sukkerbiten;07.05.2022;14:30-16:00;28.04.2022;28.04.2022 13:52;2
<br/>;;NOK 175;No;6833807;Dropin  - Sukkerbiten;07.05.2022;14:30-16:00;28.04.2022;28.04.2022 18:15;1
<br/>;;NOK 100;yes;6222900;Dropin  - Sukkerbiten;07.05.2022;14:30-16:00;05.05.2022;05.05.2022 14:14;1
<br/>;Gyldig for angitt antall dager NOK 400;NOK 0;yes;6671005;Dropin  - Sukkerbiten;07.05.2022;14:30-16:00;06.05.2022;06.05.2022 03:12;1
<br/>;Gyldig for angitt antall dager NOK 2 800;NOK 0;yes;5499970;Dropin  - Sukkerbiten;07.05.2022;14:30-16:00;06.05.2022;06.05.2022 21:35;1
<br/>;;NOK 350;No;6726731;Dropin  - Bademaschin/Snipa;07.05.2022;14:30-16:00;25.04.2022;25.04.2022 00:26;2
<br/>;;NOK 700;No;6838950;Dropin  - Bademaschin/Snipa;07.05.2022;14:30-16:00;30.04.2022;30.04.2022 09:37;4
<br/>;;NOK 350;No;6838950;Dropin  - Bademaschin/Snipa;07.05.2022;14:30-16:00;30.04.2022;30.04.2022 09:37;2
<br/>;Gyldig for angitt antall dager NOK 400;NOK 0;yes;6804935;Dropin  - Bademaschin/Snipa;07.05.2022;14:30-16:00;01.05.2022;01.05.2022 16:52;1
<br/>;;NOK 350;No;6847430;Dropin  - Bademaschin/Snipa;07.05.2022;14:30-16:00;02.05.2022;02.05.2022 22:09;2
Årskort/månedskort   <br/>;Gyldig for angitt antall dager NOK 2 500;NOK 0;No;5709181;Dropin  - Bademaschin/Snipa;07.05.2022;14:30-16:00;06.05.2022;06.05.2022 13:45;1
<br/>;;NOK 350;No;6859714;Dropin  - Bademaschin/Snipa;07.05.2022;14:30-16:00;06.05.2022;06.05.2022 14:24;2
<br/>;;NOK 100;yes;6210453;Dropin  - Bademaschin/Snipa;07.05.2022;14:30-16:00;06.05.2022;06.05.2022 15:05;1
<br/>;Gyldig for angitt antall dager NOK 400;NOK 0;yes;6182908;Dropin  - Bademaschin/Snipa;07.05.2022;14:30-16:00;07.05.2022;07.05.2022 11:51;1
Gavekort<br/>;;NOK 0;No;6843124;Dropin  - Bademaschin/Snipa;07.05.2022;14:30-16:00;07.05.2022;07.05.2022 13:18;1
<br/>;;NOK 2 000;yes;6565022;Skarven;07.05.2022;15:00-17:00;03.02.2022;03.02.2022 13:35;1
<br/>;;NOK 2 300;No;6633610;Svarttrosten;07.05.2022;15:00-17:00;13.03.2022;13.03.2022 19:47;1
<br/>;;NOK 1 500;yes;6581880;Badstua Bispen;07.05.2022;15:00-17:00;29.04.2022;29.04.2022 09:37;1
<br/>;;NOK 350;No;6809075;Dropin  - Sukkerbiten;07.05.2022;16:00-17:30;21.04.2022;21.04.2022 07:13;2
<br/>;;NOK 400;yes;6025849;Dropin  - Sukkerbiten;07.05.2022;16:00-17:30;21.04.2022;21.04.2022 21:39;4
<br/>;;NOK 400;yes;5740472;Dropin  - Sukkerbiten;07.05.2022;16:00-17:30;25.04.2022;25.04.2022 13:06;4
<br/>;;NOK 400;yes;5740472;Dropin  - Sukkerbiten;07.05.2022;16:00-17:30;25.04.2022;25.04.2022 13:06;4
<br/>;;NOK 700;yes;6744036;Dropin  - Sukkerbiten;07.05.2022;16:00-17:30;26.04.2022;26.04.2022 16:18;4
<br/>;;NOK 175;yes;6744036;Dropin  - Sukkerbiten;07.05.2022;16:00-17:30;26.04.2022;26.04.2022 16:19;1
Årskort/månedskort   <br/>;Gyldig for angitt antall dager NOK 2 500;NOK 0;yes;5491691;Dropin  - Sukkerbiten;07.05.2022;16:00-17:30;07.05.2022;07.05.2022 08:41;1
<br/>;;NOK 350;No;6809103;Dropin  - Bademaschin/Snipa;07.05.2022;16:00-17:30;21.04.2022;21.04.2022 07:33;2
<br/>;;NOK 350;No;6827780;Dropin  - Bademaschin/Snipa;07.05.2022;16:00-17:30;26.04.2022;26.04.2022 19:59;2
<br/>;;NOK 525;No;6827781;Dropin  - Bademaschin/Snipa;07.05.2022;16:00-17:30;26.04.2022;26.04.2022 20:00;3
<br/>;Gyldig for angitt antall dager NOK 400;NOK 0;yes;6492550;Dropin  - Bademaschin/Snipa;07.05.2022;16:00-17:30;02.05.2022;02.05.2022 02:00;1
Årskort/månedskort   <br/>;Gyldig for angitt antall dager NOK 2 500;NOK 0;No;5752539;Dropin  - Bademaschin/Snipa;07.05.2022;16:00-17:30;03.05.2022;03.05.2022 22:52;1
<br/>;;NOK 100;yes;5802035;Dropin  - Bademaschin/Snipa;07.05.2022;16:00-17:30;04.05.2022;04.05.2022 09:34;1
<br/>;;NOK 175;No;6593915;Dropin  - Bademaschin/Snipa;07.05.2022;16:00-17:30;07.05.2022;07.05.2022 14:15;1
<br/>;;NOK 175;No;5153023;Dropin  - Bademaschin/Snipa;07.05.2022;16:00-17:30;07.05.2022;07.05.2022 15:26;1
<br/>;;NOK 0;No;5855357;Måken;07.05.2022;16:00-18:00;17.02.2022;17.02.2022 09:18;1
<br/>;;NOK 2 800;No;6517017;Bademaschin 2;07.05.2022;16:00-18:00;17.01.2022;17.01.2022 21:15;1
<br/>;;NOK 2 000;No;6732844;Alken;07.05.2022;16:15-18:15;30.03.2022;30.03.2022 19:49;1
<br/>;;NOK 1 700;yes;6614629;Ærfuglen;07.05.2022;16:15-18:15;11.04.2022;11.04.2022 09:22;1
<br/>;;NOK 2 300;No;6854249;Snipa;07.05.2022;16:30-18:30;04.05.2022;04.05.2022 22:43;1
<br/>;;NOK 2 300;No;6392153;Skarven;07.05.2022;17:00-19:00;13.02.2022;13.02.2022 12:22;1
<br/>;;NOK 2 300;No;6802603;Svarttrosten;07.05.2022;17:00-19:00;19.04.2022;19.04.2022 09:40;1
<br/>;;NOK 400;yes;5777861;Dropin  - Sukkerbiten;07.05.2022;17:30-19:00;17.04.2022;17.04.2022 17:43;4
<br/>;Gyldig for angitt antall dager NOK 400;NOK 0;No;6664886;Dropin  - Sukkerbiten;07.05.2022;17:30-19:00;18.04.2022;18.04.2022 11:44;1
Årskort/månedskort   <br/>;Gyldig for angitt antall dager;NOK 0;No;5752843;Dropin  - Sukkerbiten;07.05.2022;17:30-19:00;25.04.2022;25.04.2022 07:31;1
<br/>;;NOK 200;yes;6398316;Dropin  - Sukkerbiten;07.05.2022;17:30-19:00;25.04.2022;25.04.2022 10:52;2
Årskort/månedskort   <br/>;Forhåndsbetalt beløp NOK 1 000    Gyldig for angitt antall dager NOK 2 500    Rabatten er gyldig for et gitt antall dager;NOK 0;yes;5513263;Dropin  - Sukkerbiten;07.05.2022;17:30-19:00;28.04.2022;28.04.2022 15:18;1
<br/>;Gyldig for angitt antall dager NOK 400;NOK 0;yes;6483010;Dropin  - Sukkerbiten;07.05.2022;17:30-19:00;28.04.2022;28.04.2022 18:59;1
<br/>;;NOK 300;yes;6436683;Dropin  - Sukkerbiten;07.05.2022;17:30-19:00;29.04.2022;29.04.2022 12:44;3
<br/>;;NOK 350;No;6840986;Dropin  - Sukkerbiten;07.05.2022;17:30-19:00;30.04.2022;30.04.2022 20:55;2
Årskort/månedskort   <br/>;Gyldig for angitt antall dager NOK 400;NOK 0;yes;6352683;Dropin  - Sukkerbiten;07.05.2022;17:30-19:00;01.05.2022;01.05.2022 09:47;1
Årskort/månedskort   <br/>;Gyldig for angitt antall dager NOK 400    Gyldig for angitt antall dager NOK 400;NOK 0;yes;6006894;Dropin  - Sukkerbiten;07.05.2022;17:30-19:00;01.05.2022;01.05.2022 13:05;1
Årskort/månedskort   <br/>;Gyldig for angitt antall dager NOK 2 500;NOK 0;yes;5720036;Dropin  - Sukkerbiten;07.05.2022;17:30-19:00;03.05.2022;03.05.2022 04:00;1
Årskort/månedskort   <br/>;Gyldig for angitt antall dager NOK 2 800;NOK 0;yes;5595584;Dropin  - Sukkerbiten;07.05.2022;17:30-19:00;06.05.2022;06.05.2022 22:13;1
Årskort/månedskort   <br/>;Gyldig for angitt antall dager NOK 2 800    Rabatten er gyldig for et gitt antall dager     Gyldig for angitt antall dager NOK 400;NOK 0;yes;5707825;Dropin  - Sukkerbiten;07.05.2022;17:30-19:00;07.05.2022;07.05.2022 14:17;1
<br/>;;NOK 300;yes;6502845;Dropin  - Bademaschin/Snipa;07.05.2022;17:30-19:00;29.04.2022;29.04.2022 21:53;3
<br/>;Gyldig for angitt antall dager NOK 1 000    Gyldig for angitt antall dager NOK 400;NOK 0;yes;5868988;Dropin  - Bademaschin/Snipa;07.05.2022;17:30-19:00;30.04.2022;30.04.2022 15:06;1
Årskort/månedskort   <br/>;Gyldig for angitt antall dager NOK 2 500;NOK 0;yes;5503605;Dropin  - Bademaschin/Snipa;07.05.2022;17:30-19:00;01.05.2022;01.05.2022 22:05;1
<br/>;;NOK 500;No;6844113;Dropin  - Bademaschin/Snipa;07.05.2022;17:30-19:00;01.05.2022;01.05.2022 23:26;4
<br/>;;NOK 175;No;6844113;Dropin  - Bademaschin/Snipa;07.05.2022;17:30-19:00;01.05.2022;01.05.2022 23:27;1
<br/>;;NOK 200;yes;5763110;Dropin  - Bademaschin/Snipa;07.05.2022;17:30-19:00;02.05.2022;02.05.2022 19:50;2
<br/>;;NOK 1 800;No;6831274;Badstua Bispen;07.05.2022;17:30-19:30;27.04.2022;27.04.2022 21:40;1
<br/>;;NOK 1 200;yes;6574894;Måken;07.05.2022;18:00-20:00;31.03.2022;31.03.2022 21:53;1
<br/>;;NOK 2 000;No;6779104;Alken;07.05.2022;18:15-20:15;11.04.2022;11.04.2022 15:53;1
<br/>;;NOK 2 000;No;6348126;Ærfuglen;07.05.2022;18:15-20:15;16.04.2022;16.04.2022 18:24;1
<br/>;;NOK 2 000;yes;5982668;Snipa;07.05.2022;18:30-20:30;10.03.2022;10.03.2022 20:16;1
<br/>;;NOK 2 300;No;5707014;Skarven;07.05.2022;19:00-21:00;07.03.2022;07.03.2022 13:20;1
<br/>;Antall ganger NOK 600;NOK 2 000;yes;5501350;Anda;07.05.2022;19:00-21:00;24.02.2022;24.02.2022 19:07;1
<br/>;;NOK 2 000;yes;6111589;Svarttrosten;07.05.2022;19:00-21:00;20.04.2022;20.04.2022 22:12;1
<br/>;;NOK 500;No;6834754;Padlehuken Munken - overnatting;07.05.2022;19:00-09:00;29.04.2022;29.04.2022 00:33;1
<br/>;;NOK 2 000;yes;6693933;Havørnen;07.05.2022;19:15-21:15;18.03.2022;18.03.2022 08:54;1
<br/>;;NOK 2 500;yes;6037194;Bademaschin 1;07.05.2022;19:15-21:15;30.03.2022;30.03.2022 08:52;1
<br/>;;NOK 2 800;No;6711704;Bademaschin 2;07.05.2022;19:15-21:15;24.03.2022;24.03.2022 13:05;1
<br/>;;NOK 1 200;yes;6177018;Måken;07.05.2022;20:00-22:00;26.04.2022;26.04.2022 21:07;1
<br/>;;NOK 1 700;yes;6185285;Alken;07.05.2022;20:15-22:15;28.03.2022;28.03.2022 18:56;1
<br/>;;NOK 2 000;No;6560563;Ærfuglen;07.05.2022;20:15-22:15;05.05.2022;05.05.2022 15:03;1
<br/>;;NOK 2 000;yes;6836059;Snipa;07.05.2022;20:45-22:45;29.04.2022;29.04.2022 13:14;1
<br/>;;NOK 2 300;No;6183970;Skarven;07.05.2022;21:00-23:00;01.04.2022;01.04.2022 11:48;1
<br/>;;NOK 2 000;yes;5804296;Anda;07.05.2022;21:00-23:00;29.04.2022;29.04.2022 11:32;1
<br/>;;NOK 2 300;No;6809919;Svarttrosten;07.05.2022;21:00-23:00;04.05.2022;04.05.2022 13:42;1
<br/>;;NOK 2 300;No;6833121;Havørnen;07.05.2022;21:15-23:15;28.04.2022;28.04.2022 14:20;1
<br/>;;NOK 2 800;No;6816198;Bademaschin 1;07.05.2022;21:15-23:15;23.04.2022;23.04.2022 11:02;1
<br/>;;NOK 2 800;No;6747872;Bademaschin 2;07.05.2022;21:15-23:15;02.04.2022;02.04.2022 12:11;1
<br/>;;NOK 200;yes;6741701;Dropin  - Sukkerbiten;08.05.2022;07:00-08:30;30.04.2022;30.04.2022 12:41;2
Årskort/månedskort   <br/>;Gyldig for angitt antall dager NOK 2 800;NOK 0;yes;5501307;Dropin  - Sukkerbiten;08.05.2022;07:00-08:30;02.05.2022;02.05.2022 09:10;1
<br/>;;NOK 100;yes;6792250;Dropin  - Sukkerbiten;08.05.2022;07:00-08:30;04.05.2022;04.05.2022 11:39;1
<br/>;Gyldig for angitt antall dager NOK 400;NOK 0;yes;6813870;Dropin  - Sukkerbiten;08.05.2022;07:00-08:30;04.05.2022;04.05.2022 22:00;1
Årskort/månedskort   <br/>;Gyldig for angitt antall dager NOK 2 500;NOK 0;yes;5994380;Dropin  - Sukkerbiten;08.05.2022;07:00-08:30;05.05.2022;05.05.2022 20:51;1
Årskort/månedskort   <br/>;Gyldig for angitt antall dager NOK 2 500;NOK 0;yes;5704460;Dropin  - Sukkerbiten;08.05.2022;07:00-08:30;06.05.2022;06.05.2022 17:21;1
<br/>;;NOK 200;yes;5503728;Dropin  - Sukkerbiten;08.05.2022;07:00-08:30;06.05.2022;06.05.2022 19:25;2
<br/>;;NOK 200;yes;6592774;Dropin  - Sukkerbiten;08.05.2022;07:00-08:30;07.05.2022;07.05.2022 09:26;2
Gavekort<br/>;;NOK 0;No;5932170;Dropin  - Sukkerbiten;08.05.2022;07:00-08:30;07.05.2022;07.05.2022 10:53;2
<br/>;;NOK 175;yes;5743630;Dropin  - Sukkerbiten;08.05.2022;07:00-08:30;07.05.2022;07.05.2022 16:23;1
